Battery Capacity (MWh),Charging Rate (MW),Discharging Rate (MW),Charge Efficiency,Discharge Efficiency,Objective Value ($),Avg Market Price ($/MWh),Total Production (MW)
200,100,100,0.95,0.95,1224068.3728409181,9.112500000000004,52370.06998999996
200,100,150,0.8,0.8,1224068.3728409181,9.112500000000004,52267.19152999996
200,100,150,0.8,0.9,1224068.3728409181,9.112500000000004,52355.96932999997
200,100,150,0.8,0.95,1224068.3728409181,9.112500000000004,52355.96932999997
200,100,150,0.9,0.8,1224068.3728409181,9.112500000000004,52247.19152999996
200,100,150,0.9,0.9,1224068.3728409181,9.112500000000004,52295.53792999996
200,100,150,0.9,0.95,1224068.3728409181,9.112500000000004,52247.19152999995
200,100,150,0.95,0.8,1224068.3728409181,9.112500000000004,52296.54511999996
200,100,150,0.95,0.9,1224068.3728409184,9.112500000000004,52325.11969999997
200,100,150,0.95,0.95,1224068.3728409181,9.112500000000004,52305.278539999956
200,150,50,0.8,0.8,1224068.3728409181,9.112500000000004,52378.64779999996
200,150,50,0.8,0.9,1224062.072357585,9.066250000000004,52309.139701111075
200,150,50,0.8,0.95,1224058.82674355,9.066250000000004,52315.92332684208
200,150,50,0.9,0.8,1224068.3728409181,9.112500000000004,52366.04122999996
200,150,50,0.9,0.9,1224062.072357585,9.066250000000004,52294.139701111075
200,150,50,0.9,0.95,1224058.82674355,9.066250000000004,52403.69393684207
200,150,50,0.95,0.8,1224068.3728409181,9.112500000000004,52430.50138999996
200,150,50,0.95,0.9,1224062.072357585,9.066250000000004,52354.048846666636
200,150,50,0.95,0.95,1224058.82674355,9.066250000000004,52404.70112684207
200,150,100,0.8,0.8,1224068.3728409181,9.112500000000004,52324.746439999966
200,150,100,0.8,0.9,1224068.3728409181,9.112500000000004,52296.54511999997
200,150,100,0.8,0.95,1224068.3728409181,9.112500000000004,52412.06007421049
200,150,100,0.9,0.8,1224068.3728409181,9.112500000000004,52298.05432999997
200,150,100,0.9,0.9,1224068.3728409181,9.112500000000004,52294.18669999997
200,150,100,0.9,0.95,1224068.3728409181,9.112500000000004,52269.777327894706
200,150,100,0.95,0.8,1224068.3728409184,9.112500000000004,52404.81646999997
200,150,100,0.95,0.9,1224068.3728409184,9.112500000000004,52454.673949999975
200,150,100,0.95,0.95,1224068.3728409181,9.112500000000004,52269.777327894706
200,150,150,0.8,0.8,1224068.3728409184,9.112500000000004,52388.19940999997
200,150,150,0.8,0.9,1224068.3728409181,9.112500000000004,52296.54511999997
200,150,150,0.8,0.95,1224068.3728409184,9.112500000000004,52323.73924999997
200,150,150,0.9,0.8,1224068.3728409184,9.112500000000004,52322.27564999997
200,150,150,0.9,0.9,1224068.3728409181,9.112500000000004,52291.64511999997
200,150,150,0.9,0.95,1224068.3728409181,9.112500000000004,52291.64511999997
200,150,150,0.95,0.8,1224068.3728409184,9.112500000000004,52320.32642999997
200,150,150,0.95,0.9,1224068.3728409181,9.112500000000004,52312.26890999997
200,150,150,0.95,0.95,1224068.3728409184,9.112500000000004,52384.17064999997
300,50,50,0.8,0.8,1224068.5966909183,9.050833333333337,52555.91893999996
300,50,50,0.8,0.9,1224062.072357585,9.066250000000004,52538.285606666635
300,50,50,0.8,0.95,1224058.82674355,9.066250000000004,52529.51367684207
300,50,50,0.9,0.8,1224181.0966909183,9.050833333333337,52565.91893999997
300,50,50,0.9,0.9,1224174.572357585,9.066250000000004,52548.285606666635
300,50,50,0.9,0.95,1224171.32674355,9.066250000000004,52539.51367684207
300,50,50,0.95,0.8,1224237.346690918,9.050833333333337,52490.53059999997
300,50,50,0.95,0.9,1224230.822357585,9.066250000000004,52472.89726666664
300,50,50,0.95,0.95,1224227.57674355,9.066250000000004,52464.12533684207
300,50,100,0.8,0.8,1224074.6646909183,9.158750000000001,52572.31893999996
300,50,100,0.8,0.9,1224074.6646909183,9.158750000000001,52572.31893999996
300,50,100,0.8,0.95,1224074.6646909183,9.158750000000001,52572.31893999996
300,50,100,0.9,0.8,1224188.1470409182,9.020000000000003,52584.97393999996
300,50,100,0.9,0.9,1224188.1470409182,9.020000000000003,52584.97393999996
300,50,100,0.9,0.95,1224188.1470409182,9.020000000000003,52584.97393999997
300,50,100,0.95,0.8,1224244.3970409182,9.020000000000003,52509.58559999997
300,50,100,0.95,0.9,1224244.3970409182,9.020000000000003,52509.58559999997
300,50,100,0.95,0.95,1224244.3970409182,9.020000000000003,52509.58559999997
300,50,150,0.8,0.8,1224074.6646909183,9.158750000000001,52432.398539999966
300,50,150,0.8,0.9,1224074.6646909183,9.158750000000001,52432.398539999966
300,50,150,0.8,0.95,1224074.6646909183,9.158750000000001,52432.398539999966
300,50,150,0.9,0.8,1224188.1470409182,9.020000000000003,52435.053539999964
300,50,150,0.9,0.9,1224188.1470409182,9.020000000000003,52435.053539999964
300,50,150,0.9,0.95,1224188.1470409182,9.020000000000003,52435.053539999964
300,50,150,0.95,0.8,1224244.3970409182,9.020000000000003,52435.053539999964
300,50,150,0.95,0.9,1224244.3970409182,9.020000000000003,52435.053539999964
300,50,150,0.95,0.95,1224244.3970409182,9.020000000000003,52435.05353999997
300,100,50,0.8,0.8,1224518.596690918,9.050833333333337,52490.53059999997
300,100,50,0.8,0.9,1224512.072357585,9.066250000000004,52472.89726666664
300,100,50,0.8,0.95,1224508.82674355,9.066250000000004,52403.69393684207
300,100,50,0.9,0.8,1224518.5966909183,9.050833333333337,52411.75279999996
300,100,50,0.9,0.9,1224512.072357585,9.066250000000004,52472.89726666664
300,100,50,0.9,0.95,1224508.82674355,9.066250000000004,52406.71385578944
300,100,50,0.95,0.8,1224518.5966909183,9.050833333333337,52421.752799999966
300,100,50,0.95,0.9,1224512.072357585,9.066250000000004,52413.47305666663
300,100,50,0.95,0.95,1224508.82674355,9.066250000000004,52464.12533684208
300,100,100,0.8,0.8,1224525.6470409182,9.020000000000003,52450.161389999965
300,100,100,0.8,0.9,1224525.6470409182,9.020000000000003,52450.161389999965
300,100,100,0.8,0.95,1224525.6470409182,9.020000000000003,52450.16138999997
300,100,100,0.9,0.8,1224525.6470409182,9.020000000000003,52450.16138999997
300,100,100,0.9,0.9,1224525.6470409182,9.020000000000003,52450.16138999997
300,100,100,0.9,0.95,1224525.6470409182,9.020000000000003,52450.161389999965
300,100,100,0.95,0.8,1224525.6470409182,9.020000000000003,52450.161389999965
300,100,100,0.95,0.9,1224525.6470409182,9.020000000000003,52389.72998999996
300,100,100,0.95,0.95,1224525.6470409182,9.020000000000003,52389.72998999997
300,100,150,0.8,0.8,1224525.6470409182,9.020000000000003,52467.28361999997
300,100,150,0.8,0.9,1224525.6470409182,9.020000000000003,52435.053539999964
300,100,150,0.8,0.95,1224525.6470409182,9.020000000000003,52375.62932999997
300,100,150,0.9,0.8,1224525.6470409182,9.020000000000003,52447.93002999997
300,100,150,0.9,0.9,1224525.6470409182,9.020000000000003,52375.62932999997
300,100,150,0.9,0.95,1224525.6470409182,9.020000000000003,52447.93002999997
300,100,150,0.95,0.8,1224525.6470409182,9.020000000000003,52375.62932999997
300,100,150,0.95,0.9,1224525.6470409182,9.020000000000003,52398.79469999996
300,100,150,0.95,0.95,1224525.6470409182,9.020000000000003,52331.27573999996
300,150,50,0.8,0.8,1224518.596690918,9.050833333333337,52370.67498999997
300,150,50,0.8,0.9,1224512.072357585,9.066250000000004,52309.13970111109
300,150,50,0.8,0.95,1224508.82674355,9.066250000000004,52344.26972684207
300,150,50,0.9,0.8,1224518.596690918,9.050833333333337,52324.82858999996
300,150,50,0.9,0.9,1224512.072357585,9.066250000000004,52300.25081222219
300,150,50,0.9,0.95,1224508.82674355,9.066250000000004,52403.69393684208
300,150,50,0.95,0.8,1224518.5966909183,9.050833333333337,52431.106389999964
300,150,50,0.95,0.9,1224512.072357585,9.066250000000004,52290.21111111108
300,150,50,0.95,0.95,1224508.82674355,9.066250000000004,52404.70112684207
300,150,100,0.8,0.8,1224525.6470409182,9.020000000000003,52482.39146999997
300,150,100,0.8,0.9,1224525.6470409182,9.020000000000003,52450.16138999996
300,150,100,0.8,0.95,1224525.6470409182,9.020000000000003,52342.45117210523
300,150,100,0.9,0.8,1224525.6470409182,9.020000000000003,52392.246389999964
300,150,100,0.9,0.9,1224525.6470409182,9.020000000000003,52310.105119999964
300,150,100,0.9,0.95,1224525.6470409182,9.020000000000003,52384.63717999997
300,150,100,0.95,0.8,1224525.6470409182,9.020000000000003,52392.246389999964
300,150,100,0.95,0.9,1224525.6470409182,9.020000000000003,52397.47378999998
300,150,100,0.95,0.95,1224525.6470409182,9.020000000000003,52449.15419999997
300,150,150,0.8,0.8,1224525.6470409182,9.020000000000003,52387.13853999998
300,150,150,0.8,0.9,1224525.6470409182,9.020000000000003,52316.20511999998
300,150,150,0.8,0.95,1224525.6470409182,9.020000000000003,52375.629329999974
300,150,150,0.9,0.8,1224525.6470409182,9.020000000000003,52312.176359999976
300,150,150,0.9,0.9,1224525.6470409182,9.020000000000003,52311.305119999975
300,150,150,0.9,0.95,1224525.6470409182,9.020000000000003,52406.85221999997
300,150,150,0.95,0.8,1224525.6470409182,9.020000000000003,52300.246699999974
300,150,150,0.95,0.9,1224525.6470409182,9.020000000000003,52322.94172999997
300,150,150,0.95,0.95,1224525.6470409182,9.020000000000003,52371.60056999997
