"startTime";"endTime";"Wind power production - real time data"
"2024-03-29T06:19:00.000Z";"2024-03-29T06:19:00.000Z";2500.5
"2024-03-29T06:22:00.000Z";"2024-03-29T06:22:00.000Z";2481
"2024-03-29T06:25:00.000Z";"2024-03-29T06:25:00.000Z";2492.5
"2024-03-29T06:28:00.000Z";"2024-03-29T06:28:00.000Z";2484
"2024-03-29T06:31:00.000Z";"2024-03-29T06:31:00.000Z";2481
"2024-03-29T06:34:00.000Z";"2024-03-29T06:34:00.000Z";2472
"2024-03-29T06:37:00.000Z";"2024-03-29T06:37:00.000Z";2448
"2024-03-29T06:40:00.000Z";"2024-03-29T06:40:00.000Z";2455.5
"2024-03-29T06:43:00.000Z";"2024-03-29T06:43:00.000Z";2439.5
"2024-03-29T06:46:00.000Z";"2024-03-29T06:46:00.000Z";2435.5
"2024-03-29T06:49:00.000Z";"2024-03-29T06:49:00.000Z";2423.5
"2024-03-29T06:52:00.000Z";"2024-03-29T06:52:00.000Z";2419
"2024-03-29T06:55:00.000Z";"2024-03-29T06:55:00.000Z";2420
"2024-03-29T06:58:00.000Z";"2024-03-29T06:58:00.000Z";2396
"2024-03-29T07:01:00.000Z";"2024-03-29T07:01:00.000Z";2386.5
"2024-03-29T07:04:00.000Z";"2024-03-29T07:04:00.000Z";2386.5
"2024-03-29T07:07:00.000Z";"2024-03-29T07:07:00.000Z";2376.5
"2024-03-29T07:10:00.000Z";"2024-03-29T07:10:00.000Z";2376.5
"2024-03-29T07:13:00.000Z";"2024-03-29T07:13:00.000Z";2375
"2024-03-29T07:16:00.000Z";"2024-03-29T07:16:00.000Z";2369.5
"2024-03-29T07:19:00.000Z";"2024-03-29T07:19:00.000Z";2349.5
"2024-03-29T07:22:00.000Z";"2024-03-29T07:22:00.000Z";2326.5
"2024-03-29T07:25:00.000Z";"2024-03-29T07:25:00.000Z";2304
"2024-03-29T07:28:00.000Z";"2024-03-29T07:28:00.000Z";2281.59999
"2024-03-29T07:31:00.000Z";"2024-03-29T07:31:00.000Z";2270
"2024-03-29T07:34:00.000Z";"2024-03-29T07:34:00.000Z";2256
"2024-03-29T07:37:00.000Z";"2024-03-29T07:37:00.000Z";2239
"2024-03-29T07:40:00.000Z";"2024-03-29T07:40:00.000Z";2238
"2024-03-29T07:43:00.000Z";"2024-03-29T07:43:00.000Z";2214
"2024-03-29T07:46:00.000Z";"2024-03-29T07:46:00.000Z";2230.4
"2024-03-29T07:49:00.000Z";"2024-03-29T07:49:00.000Z";2235
"2024-03-29T07:52:00.000Z";"2024-03-29T07:52:00.000Z";2218
"2024-03-29T07:55:00.000Z";"2024-03-29T07:55:00.000Z";2196.5
"2024-03-29T07:58:00.000Z";"2024-03-29T07:58:00.000Z";2186
"2024-03-29T08:01:00.000Z";"2024-03-29T08:01:00.000Z";2186
"2024-03-29T08:04:00.000Z";"2024-03-29T08:04:00.000Z";2184
"2024-03-29T08:07:00.000Z";"2024-03-29T08:07:00.000Z";2194
"2024-03-29T08:10:00.000Z";"2024-03-29T08:10:00.000Z";2167.5
"2024-03-29T08:13:00.000Z";"2024-03-29T08:13:00.000Z";2149.59999
"2024-03-29T08:16:00.000Z";"2024-03-29T08:16:00.000Z";2147
"2024-03-29T08:19:00.000Z";"2024-03-29T08:19:00.000Z";2146
"2024-03-29T08:22:00.000Z";"2024-03-29T08:22:00.000Z";2140
